CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)	EC_corporate_code	EC_corporate_uri
TOTAL	Total (all currencies)	Total (Toutes monnaies)	Insgesamt (alle Währungen)	Y			
EUR	Euro	Euro	Euro	Y			
MIO_EUR	Million euro	Millions d'euros	Million Euro	Y			
BGN	Bulgarian lev	Lev bulgare	Bulgarischer Lew	Y			
CZK	Czech koruna	Couronne tchèque	Tschechische Krone	Y			
DKK	Danish krone	Couronne danoise	Dänische Krone	Y			
HUF	Hungarian forint	Forint hongrois	Ungarischer Forint	Y			
PLN	Polish zloty	Zloty polonais	Polnischer Zloty	Y			
RON	Romanian leu	Leu roumain	Rumänischer Leu	Y	As of 1 July 2005 the currency of Romania is the new Romanian leu (RON). 1 RON equals 10 000 old Romanian lei (ROL).		
SEK	Swedish krona	Couronne suédoise	Schwedische Krone	Y			
EU_OTH	National currency of EU Member States not belonging to the euro area	Monnaie nationale d'États membres de l'UE n'appartenant pas à la zone euro	Landeswährung der EU-Mitgliedstaaten, die nicht zum Euroraum gehören	Y			
ATS	Austrian schilling	Schilling autrichien	Österreichischer Schilling	Y			
BEF	Belgian franc	Franc belge	Belgischer Franc	Y			
CYP	Cyprus pound	Livre chypriote	Zypern-Pfund	Y			
DEM	German mark	Mark allemand	Deutsche Mark	Y			
EEK	Estonian Kroon	Couronne estonienne	Estnische Krone	Y			
ESP	Spanish peseta	Peseta espagnole	Spanische Peseta	Y			
FIM	Finnish markka	Mark finlandais	Finnmark	Y			
FRF	French franc	Franc français	Französischer Franc	Y			
GRD	Greek drachma	Drachme grecque	Griechische Drachme	Y			
HRK	Croatian kuna	Kuna croate	Kroatische Kuna	Y	The kuna and the euro will be used during a parallel circulation period from 1 January 2023 to 14 January 2023.		
IEP	Irish pound	Livre irlandaise	Irisches Pfund	Y			
ITL	Italian lira	Lire italienne	Italienische Lira	Y			
LTL	Lithuanian litas	Litas lituanien	Litauischer Litas	Y			
LUF	Luxembourg franc	Franc luxembourgeois	Luxemburgischer Franc	Y			
LVL	Latvian lats	Lats letton	Lettischer Lats	Y			
MTL	Maltese lira	Lire maltaise	Maltesische Lira	Y			
NLG	Dutch guilder	Florin néerlandais	Niederländischer Gulden	Y			
PTE	Portuguese escudo	Escudo portugais	Portugiesischer Escudo	Y			
SIT	Slovenian tolar	Tolar slovène	Slowenischer Tolar	Y			
SKK	Slovak koruna	Couronne slovaque	Slowakische Krone	Y			
CHF	Swiss franc	Franc suisse	Schweizer Franken	Y			
ISK	Icelandic króna	Couronne islandaise	Isländische Krone	Y			
NOK	Norwegian krone	Couronne norvégienne	Norwegische Krone	Y			
GBP	Pound sterling	Livre sterling	Pfund Sterling	Y			
ALL	Albanian lek	Lek albanais	Albanischer Lek	Y			
MDL	Moldovan leu	Leu moldave	Moldau-Leu	Y			
MKD	North Macedonian denar	Denar de la Macédoine du Nord	Nordmazedonischer Denar	Y			
RSD	Serbian dinar	Dinar serbe	Serbischer Dinar	Y			
TRY	Turkish lira	Livre turque	Türkische Lira	Y			
UAH	Ukraine hryvnia	Hryvnia ukrainienne	Ukrainische Griwna	Y			
AED	UAE dirham	Dirham des Émirats arabes unis	VAE-Dirham	Y			
AFN	Afghan afghani	Afghani afghan	Afghanischer Afghani	Y			
AMD	Armenian dram	Dram arménien	Armenischer Dram	Y			
ANG	Netherlands Antillean guilder	Florin des Antilles néerlandaises	Niederländische-Antillen-Gulden	Y	Although the Netherlands Antilles was dissolved on 10 October 2010, Curacao and Sint Maarten have retained the Netherlands Antillean guilder (ANG) while waiting for the creation of a common currency.		
AOA	Angolan kwanza	Kwanza angolais	Angolanischer Kwanza	Y			
ARS	Argentine peso	Peso argentin	Argentinischer Peso	Y			
AUD	Australian dollar	Dollar australien	Australischer Dollar	Y			
AWG	Aruban guilder	Florin arubain	Aruba-Gulden	Y			
AZN	Azerbaijan manat	Manat azerbaïdjanais	Aserbaidschan-Manat	Y			
BAM	Bosnia and Herzegovina convertible mark	Mark convertible de Bosnie-Herzégovine	Bosnisch-herzegowinische konvertierbare Mark	Y			
BBD	Barbados dollar	Dollar de la Barbade	Barbados-Dollar	Y			
BDT	Bangladeshi taka	Taka bangladais	Bangladeschischer Taka	Y			
BHD	Bahraini dinar	Dinar de Bahreïn	Bahrain-Dinar	Y			
BIF	Burundi franc	Franc burundais	Burundi-Franc	Y			
BMD	Bermuda dollar	Dollar des Bermudes	Bermuda-Dollar	Y			
BND	Brunei dollar	Dollar de Brunei	Brunei-Dollar	Y			
BOB	Bolivian boliviano	Boliviano bolivien	Bolivianischer Boliviano	Y			
BRL	Brazilian real	Real brésilien	Brasilianischer Real	Y			
BSD	Bahamian dollar	Dollar des Bahamas	Bahama-Dollar	Y			
BTN	Bhutan ngultrum	Ngultrum bhoutanais	Bhutanischer Ngultrum	Y			
BWP	Botswana pula	Pula botswanais	Botswana Pula	Y			
BYN	Belarusian rouble	Rouble bélarussien	Belarussischer Rubel	Y			
BZD	Belize dollar	Dollar de Belize	Belize-Dollar	Y			
CAD	Canadian dollar	Dollar canadien	Kanadischer Dollar	Y			
CDF	Congolese franc	Franc congolais	Kongo-Franc	Y	The supranational currency XAF is also used in this country		
CLP	Chilean peso	Peso chilien	Chilenischer Peso	Y			
CNY	Chinese renminbi-yuan	Yuan renminbi chinois	Chinesischer Renminbi Yuan	Y			
COP	Colombian peso	Peso colombien	Kolumbianischer Peso	Y			
CRC	Costa Rican colón	Colon costaricien	Costa-Rica-Colón	Y			
CUC	Cuban convertible peso	Peso cubain convertible	Kubanischer konvertibler Peso	Y			
CUP	Cuban peso	Peso cubain	Kubanischer Peso	Y			
CVE	Cabo Verde escudo	Escudo du Cap-Vert	Cabo-Verde-Escudo	Y			
DJF	Djibouti franc	Franc de Djibouti	Dschibuti-Franc	Y			
DOP	Dominican peso	Peso dominicain	Dominikanischer Peso	Y			
DZD	Algerian dinar	Dinar algérien	Algerischer Dinar	Y			
EGP	Egyptian pound	Livre égyptienne	Ägyptisches Pfund	Y			
ERN	Eritrean nakfa	Nakfa érythréen	Eritreischer Nakfa	Y			
ETB	Ethiopian birr	Birr éthiopien	Äthiopischer Birr	Y			
FJD	Fiji dollar	Dollar des Fidji	Fidschi-Dollar	Y			
FKP	Falkland Islands pound	Livre des Falkland	Falkland-Pfund	Y			
GEL	Georgian lari	Lari géorgien	Georgischer Lari	Y			
GHS	Ghana cedi	Cedi ghanéen	Ghana Cedi	Y			
GIP	Gibraltar pound	Livre de Gibraltar	Gibraltar-Pfund	Y			
GMD	Gambian dalasi	Dalasi Gambien	Gambischer Dalasi	Y			
GNF	Guinean franc	Franc guinéen	Guinea-Franc	Y			
GTQ	Guatemalan quetzal	Quetzal guatémaltèque	Guatemaltekischer Quetzal	Y			
GYD	Guyana dollar	Dollar de Guyana	Guyana-Dollar	Y			
HKD	Hong Kong dollar	Dollar de Hong Kong	Hongkong-Dollar	Y			
HNL	Honduran lempira	Lempira hondurien	Honduranischer Lempira	Y			
HTG	Haitian gourde	Gourde haïtienne	Haitianische Gourde	Y			
IDR	Indonesian rupiah	Roupie indonésienne	Indonesische Rupiah	Y			
ILS	Israeli shekel	Shekel israélien	Israelischer Schekel	Y			
INR	Indian rupee	Roupie indienne	Indische Rupie	Y			
IQD	Iraqi dinar	Dinar iraquien	Irak-Dinar	Y			
IRR	Iranian rial	Rial iranien	Iranischer Rial	Y			
JMD	Jamaica dollar	Dollar jamaïcain	Jamaika-Dollar	Y			
JOD	Jordanian dinar	Dinar jordanien	Jordan-Dinar	Y			
JPY	Japanese yen	Yen japonais	Japanischer Yen	Y			
KES	Kenyan shilling	Shilling kényan	Kenia-Schilling	Y			
KGS	Kyrgyzstanian som	Som kirghiz	Kirgisischer Som	Y			
KHR	Cambodian riel	Riel cambodgien	Kambodschanischer Riel	Y			
KMF	Comorian franc	Franc des Comores	Komoren-Franc	Y			
KPW	North Korean won	Won nord-coréen	Nordkoreanischer Won	Y			
KRW	South Korean won	Won sud-coréen	Südkoreanischer Won	Y			
KWD	Kuwaiti dinar	Dinar koweïtien	Kuwait-Dinar	Y			
KYD	Cayman Islands dollar	Dollar des Îles Cayman	Kaiman-Dollar	Y			
KZT	Kazakhstan tenge	Tenge kazakh	Kasachischer Tenge	Y			
LAK	Lao kip	Kip laotien	Laotischer Kip	Y			
LBP	Lebanese pound	Livre libanaise	Libanesisches Pfund	Y			
LKR	Sri Lankan rupee	Roupie sri-lankaise	Sri-Lanka-Rupie	Y			
LRD	Liberian dollar	Dollar libérien	Liberianischer Dollar	Y			
LSL	Lesotho loti	Loti lesothan	Lesothischer Loti	Y			
LYD	Libyan dinar	Dinar libyen	Libyscher Dinar	Y			
MAD	Moroccan dirham	Dirham marocain	Marokkanischer Dirham	Y			
MGA	Malagasy ariary	Ariary malgache	Madagassischer Ariary	Y			
MMK	Myanmar kyat	Kyat de Myanmar	Myanmarischer Kyat	Y			
MNT	Mongolian tugrik	Tugrik mongol	Mongolischer Tugrik	Y			
MOP	Macau pataca	Pataca de Macao	Macau Pataca	Y			
MRU	Mauritanian ouguiya	Ouguiya mauritanien	Mauretanischer Ouguiya	Y			
MUR	Mauritian rupee	Roupie mauricienne	Mauritius-Rupie	Y			
MVR	Maldive rufiyaa	Rufiyaa maldivien	Maledivische Rufiyaa	Y			
MWK	Malawian kwacha	Kwacha du Malawi	Malawi-Kwacha	Y			
MXN	Mexican peso	Peso mexicain	Mexikanischer Peso	Y			
MYR	Malaysian ringgit	Ringgit malaisien	Malaysischer Ringgit	Y			
MZN	Mozambique metical	Metical mozambicain	Mosambikanischer Metical	Y			
NAD	Namibian dollar	Dollar namibien	Namibia-Dollar	Y			
NGN	Nigerian naira	Naira nigérian	Nigerianischer Naira	Y			
NIO	Nicaraguan córdoba oro	Córdoba oro nicaraguayen	Nicaraguanischer Córdoba Oro	Y			
NPR	Nepalese rupee	Roupie népalaise	Nepalesische Rupie	Y			
NZD	New Zealand dollar	Dollar néo-zélandais	Neuseeländischer Dollar	Y			
OMR	Omani rial	Rial d?Oman	Rial Omani	Y			
PAB	Panamanian balboa	Balboa panaméen	Panamaischer Balboa	Y			
PEN	Peruvian sol	Sol péruvien	Peruanischer Sol	Y			
PGK	Papua New Guinea kina	Kina de Papouasie-Nouvelle-Guinée	Papua-Neuguineischer Kina	Y			
PHP	Philippine peso	Peso philippin	Philippinischer Peso	Y			
PKR	Pakistani rupee	Roupie pakistanaise	Pakistanische Rupie	Y			
PYG	Paraguay guaraní	Guarani paraguayen	Paraguayischer Guarani	Y			
QAR	Qatari riyal	Rial du Qatar	Katar-Riyal	Y			
RUB	Russian rouble	Rouble russe	Russischer Rubel	Y			
RWF	Rwandese franc	Franc rwandais	Ruanda-Franc	Y			
SAR	Saudi riyal	Riyal saoudien	Saudi-Riyal	Y			
SBD	Solomon Islands dollar	Dollar des Îles Salomon	Salomonen-Dollar	Y			
SCR	Seychelles rupee	Roupie seychelloise	Seychellen-Rupie	Y			
SDG	Sudanese pound	Livre soudanaise	Sudanesisches Pfund	Y			
SGD	Singapore dollar	Dollar de Singapour	Singapur-Dollar	Y			
SHP	Saint Helena pound	Livre de Sainte-Hélène	St. Helena-Pfund	Y			
SLE	Sierra Leonean leone	Leone de Sierra Leone	Sierra-leonischer Leone	Y			
SLL	Sierra Leonean leone	Leone de Sierra Leone	Sierra-leonischer Leone	O			
SOS	Somali shilling	Shilling somalien	Somalia-Schilling	Y			
SRD	Surinamese dollar	Dollar surinamais	Suriname-Dollar	Y			
SSP	South Sudanese pound	Livre sud-soudanaise	Südsudanesisches Pfund	Y			
STN	Sao Tomé and Principe dobra	Dobra de Sao Tomé-et-Principe	Sao Tomé und Principe Dobra	Y			
SVC	Salvadorian colón	Colon salvadorien	El-Salvador-Colón	Y			
SYP	Syrian pound	Livre syrienne	Syrisches Pfund	Y			
SZL	Swaziland lilangeni (Eswatini)	Lilangeni swazilandais (Eswatini)	Swasiland Lilangeni (Eswatini)	Y			
THB	Thai baht	Baht thaïlandais	Thailändischer Baht	Y			
TJS	Tajikistani somoni	Somoni tadjik	Tadschikischer Somoni	Y			
TMT	Turkmen manat	Manat turkmène	Turkmenistan-Manat	Y			
TND	Tunisian dinar	Dinar tunisien	Tunesischer Dinar	Y			
TOP	Tonga pa'anga	Tonga pa'anga	Tonga Pa'anga	Y			
TTD	Trinidad and Tobago dollar	Dollar de Trinidad-et-Tobago	Trinidad-und-Tobago-Dollar	Y			
TWD	New Taiwan dollar	Nouveau dollar de Taïwan	Neuer Taiwan-Dollar	Y			
TZS	Tanzanian shilling	Shilling tanzanien	Tansania-Schilling	Y			
UGX	Uganda shilling	Shilling ougandais	Uganda-Schilling	Y			
USD	US dollar	Dollar des États-Unis	US-Dollar	Y			
UYU	Uruguayan peso	Peso uruguayen	Uruguayischer Peso	Y			
UZS	Uzbekistan sum	Sum ouzbek	Usbekistan-Sum	Y			
VES	Venezuelan Bolívar soberano	Bolivar souverain (Venezuela)	Venezolanischer Bolívar Soberano	Y			
VND	Vietnamese dong	Dong vietnamien	Vietnamesischer Dong	Y			
VUV	Vanuatu vatu	Vatu du Vanuatu	Vanuatu-Vatu	Y			
WST	Samoan tala	Tala samoan	Samoa Tala	Y			
XAF	CFA franc (BEAC)	Franc CFA (BEAC)	CFA-Franc (BEAC)	Y	The Central African CFA franc is the currency of six independent states in Central Africa: Cameroon, Central African Republic, Chad, Republic of the Congo, Equatorial Guinea and Gabon. CFA stands for 'Coopération financière en Afrique centrale' (Financial		
XCD	East Caribbean dollar	Dollar des Caraïbes orientales	Ostkaribischer Dollar	Y	East Caribbean Dollar is a supranational currency which is used in eight of the nine members of the Organisation of Eastern Caribbean States (OECS): Anguilla, Antigua and Barbuda, Dominica, Grenada, Montserrat, Saint Kitts and Nevis, Saint Lucia, Saint Vi		
XOF	CFA franc (BCEAO)	Franc CFA (BCEAO)	CFA-Franc (BCEAO)	Y	The West African CFA franc is the currency of eight independent states in West Africa: Benin, Burkina Faso, Côte d'Ivoire, Guinea-Bissau, Mali, Niger, Senegal and Togo. CFA stands for 'Communauté financière d'Afrique' (Financial Community of Africa). It i		
XPF	CFP franc (French Polynesia, New Caledonia, Wallis and Futuna)	Franc CFP  (Polynésie française, Nouvelle-Calédonie, Wallis-et-Futuna)	CFP-Franc (Französisch-Polynesien, Neukaledonien, Wallis und Futuna)	Y			
YER	Yemeni rial	Riyal yéménite	Jemen-Rial	Y			
ZAR	South African rand	Rand sud-africain	Südafrikanischer Rand	Y			
ZMW	Zambian kwacha	Kwacha de Zambie	Sambischer Kwacha	Y			
ZWL	Zimbabwe dollar	Dollar zimbabwéen	Simbabwe-Dollar	Y			
XDR	Special Drawing Right (SDR)	Droit de tirage spécial (DTS)	Sonderziehungsrecht (SZR)	Y			
PPS	Purchasing Power Standard	Standard de pouvoir d'achat (SPA)	Kaufkraftstandard (KKS)	Y			
MIO_PPS	Million Purchasing Power Standards	Millions de Standard de pouvoir d'achat (SPA)	Millionen Kaufkraftstandards (KKS)	Y			
PC	Percentage	Pourcentage	Prozentsatz	M			
NAC	National currency	Monnaie nationale	Landeswährung	Y			
MIO_NAC	Million units of national currency	Millions d'unités de monnaie nationale	Millionen Einheiten der Landeswährung	Y			
NAT	National currency (former currencies of the euro area countries)	Monnaie nationale (anciennes monnaies des pays de la zone euro)	Landeswährung (frühere Währungen der Länder des Euroraums)	Y			
FOR	Foreign currency	Devise étrangère	Ausländische Währung	Y			
OTH	Other currencies	Autres monnaies	Sonstige Währungen	Y			
NAP	Not applicable	Non applicable	Nicht anwendbar	Y			
UNK	Unknown	Inconnu	Unbekannt	Y			
